Product name,SKUID,String ID
10-Year Audit Log Retention Add On,c2e41e49-e2a2-4c55-832a-cf13ffba1d6a,10_ALR_ADDON
Advanced Communications,e4654015-5daf-4a48-9b37-4f309dddd88b,ADV_COMMS
AI Builder Capacity add-on,d2dea78b-507c-4e56-b400-39447f4738f8,CDSAICAPACITY
App Connect IW,8f0c5670-4e56-4892-b06d-91c085d7004f,SPZA_IW
App governance add-on to Microsoft Defender for Cloud Apps,9706eed9-966f-4f1b-94f6-bb2b4af99a5b,Microsoft_Cloud_App_Security_App_Governance_Add_On
Azure Information Protection Plan 1 (RIGHTSMANAGEMENT_CE),a0e6a48f-b056-4037-af70-b9ac53504551,RIGHTSMANAGEMENT_CE
Azure Information Protection Plan 1 (RIGHTSMANAGEMENT),c52ea49f-fe5d-4e95-93ba-1de91d380f89,RIGHTSMANAGEMENT
Azure Information Protection Premium P1 for Government,78362de1-6942-4bb8-83a1-a32aa67e6e2c,RIGHTSMANAGEMENT_CE_GOV
Azure Information Protection Premium P1_USGOV_GCCHIGH,c57afa2a-d468-46c4-9a90-f86cb1b3c54a,RIGHTSMANAGEMENT_CE_USGOV_GCCHIGH
Basic Collaboration,4468c39a-28b2-42fb-9094-840bcf28771f,OFFICEBASIC
Career Coach for faculty,95de1760-7682-406d-98c9-52ef14e51e2b,CAREERCOACH_FACULTY
Career Coach for students,01c8007a-57d2-41e0-a3c3-0b46ead16cc4,CAREERCOACH_STUDENTS
Clipchamp Premium,0fe440c5-f2bf-442b-a4f4-9a7af77a200b,Clipchamp_Premium
Clipchamp Premium Add-on,4b2c20e4-939d-4bf4-9dd8-6870240cfe19,Clipchamp_Premium_Add_on
Clipchamp Standard,481f3bc2-5756-4b28-9375-5c8c86b99e6b,Clipchamp_Standard
Common Data Service Database Capacity,e612d426-6bc3-4181-9658-91aa906b0ac0,CDS_DB_CAPACITY
Common Data Service Database Capacity for Government,eddf428b-da0e-4115-accf-b29eb0b83965,CDS_DB_CAPACITY_GOV
Common Data Service for Apps File Capacity,631d5fb1-a668-4c2a-9427-8830665a742e,CDS_FILE_CAPACITY
Common Data Service Log Capacity,448b063f-9cc6-42fc-a0e6-40e08724a395,CDS_LOG_CAPACITY
Communications Credits,47794cd0-f0e5-45c5-9033-2eb6b5fc84e0,MCOPSTNC
Compliance Manager Premium Assessment Add-On,8a5fbbed-8b8c-41e5-907e-c50c471340fd,CMPA_addon
Compliance Manager Premium Assessment Add-On for GCC,a9d7ef53-9bea-4a2a-9650-fa7df58fe094,CMPA_addon_GCC
Compliance Program for Microsoft Cloud,10dd46b2-c5ad-4de3-865c-a6fa1363fb51,Compliance_Program_for_Microsoft_Cloud
Defender Threat Intelligence,a9c51c15-ffad-4c66-88c0-8771455c832d,Defender_Threat_Intelligence
Digital Messaging for GCC Test SKU,064a9707-9dba-4cc1-9902-38bfcfda6328,MESSAGING_GCC_TEST
Dynamics 365 - Additional Database Storage (Qualified Offer),328dc228-00bc-48c6-8b09-1fbc8bc3435d,CRMSTORAGE
Dynamics 365 - Additional Non-Production Instance (Qualified Offer),e06abcc2-7ec5-4a79-b08b-d9c282376f72,CRMTESTINSTANCE
Dynamics 365 - Additional Non-Production Instance for Government,2cf302fe-62db-4e20-b573-e0998b1208b5,CRMTESTINSTANCE_NOPREREQ
Dynamics 365 - Additional Production Instance (Qualified Offer),9d776713-14cb-4697-a21d-9a52455c738a,CRMINSTANCE
Dynamics 365 AI for Market Insights (Preview),c6df1e30-1c9f-427f-907c-3d913474a1c7,SOCIAL_ENGAGEMENT_APP_USER
Dynamics 365 Asset Management Addl Assets,673afb9d-d85b-40c2-914e-7bf46cd5cd75,DYN365_ASSETMANAGEMENT
Dynamics 365 Business Central Additional Environment Addon,a58f5506-b382-44d4-bfab-225b2fbf8390,DYN365_BUSCENTRAL_ADD_ENV_ADDON
Dynamics 365 Business Central Database Capacity,7d0d4f9a-2686-4cb8-814c-eff3fdab6d74,DYN365_BUSCENTRAL_DB_CAPACITY
Dynamics 365 Business Central Essentials,2880026b-2b0c-4251-8656-5d41ff11e3aa,DYN365_BUSCENTRAL_ESSENTIAL
Dynamics 365 Business Central Essentials Attach,1d506c23-1702-46f1-b940-160c55f98d05,Dynamics_365_Business_Central_Essentials_Attach
Dynamics 365 Business Central External Accountant,9a1e33ed-9697-43f3-b84c-1b0959dbb1d4,DYN365_FINANCIALS_ACCOUNTANT_SKU
Dynamics 365 Business Central for IWs,6a4a1628-9b9a-424d-bed5-4118f0ede3fd,PROJECT_MADEIRA_PREVIEW_IW_SKU
Dynamics 365 Business Central Premium,f991cecc-3f91-4cd0-a9a8-bf1c8167e029,DYN365_BUSCENTRAL_PREMIUM
Dynamics 365 Business Central Team Members,2e3c4023-80f6-4711-aa5d-29e0ecb46835,DYN365_BUSCENTRAL_TEAM_MEMBER
Dynamics 365 Commerce,79909bd8-4c69-4202-939e-11bc4385b134,DYN365_RETAIL
Dynamics 365 Contact Center,dfb1700c-013e-4132-8bce-0d319c43a95d,DYNAMICS_365_CONTACT_CENTER
Dynamics 365 Contact Center Add-on for Customer Service Enterprise,39a78eb6-3a8a-4e1e-878a-575a5c8984e7,DYNAMICS_365_CONTACT_CENTER_ADD_ON_FOR_CUSTOMER_SERVICE_ENTERPRISE
Dynamics 365 Contact Center Digital,59d3d0bf-df39-4b8b-8601-ea6c09a7fd66,DYNAMICS_365_CONTACT_CENTER_DIGITAL
Dynamics 365 Contact Center Digital Add-on for Customer Service Enterprise,7e6e6091-1680-4532-9370-6cd4598483ac,DYNAMICS_365_CONTACT_CENTER_DIGITAL_ADD_ON_FOR_CUSTOMER_SERVICE_ENTERPRISE
Dynamics 365 Contact Center Voice,79e2368c-4568-48d5-a352-b0344afabcf8,DYNAMICS_365_CONTACT_CENTER_VOICE
Dynamics 365 Contact Center Voice Add-on for Customer Service Enterprise,73e8b747-20bf-463d-8ffd-274a7d65d0bc,DYNAMICS_365_CONTACT_CENTER_VOICE_ADD_ON_FOR_CUSTOMER_SERVICE_ENTERPRISE
Dynamics 365 Customer Engagement Plan,ea126fc5-a19e-42e2-a731-da9d437bffcf,DYN365_ENTERPRISE_PLAN1
Dynamics 365 Customer Insights Attach (Dynamics_365_Customer_Insights_Attach_New),ff22b8d4-5073-4b24-ba45-84ad5d9b6642,Dynamics_365_Customer_Insights_Attach_New
Dynamics 365 Customer Insights Attach (DYN365_CUSTOMER_INSIGHTS_ATTACH),a3d0cd86-8068-4071-ad40-4dc5b5908c4b,DYN365_CUSTOMER_INSIGHTS_ATTACH
Dynamics 365 Customer Insights Journeys T3 Interacted People,05735051-46c0-4c84-9107-bb13d77d0b88,Dynamics_365_Customer_Insights_Journeys_T3_Interacted_People
